City,Cuisine,count
Hamburg,"[ 'German', 'Bar', 'European', 'Central European', 'Brew Pub', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Hamburg,"[ 'German', 'European', 'Central European', 'Vegetarian Friendly', 'Gluten Free Options' ]",2
Hamburg,"[ 'Steakhouse', 'Barbecue', 'European', 'Vegetarian Friendly' ]",1
Hamburg,[ 'Cafe' ],29
Hamburg,"[ 'European', 'Italian', 'Pizza', 'Vegetarian Friendly' ]",1
Helsinki,"[ 'Italian', 'Pizza' ]",5
Lisbon,"[ 'European', 'Portuguese', 'Gluten Free Options' ]",2
Ljubljana,"[ 'American', 'Steakhouse', 'Barbecue', 'European', 'Grill', 'Gluten Free Options' ]",1
Ljubljana,"[ 'Bar', 'Cafe', 'Pub', 'Wine Bar', 'Vegetarian Friendly', 'Vegan Options' ]",1
Ljubljana,"[ 'European', 'Central European' ]",4
London,"[ 'European', 'Asian', 'British', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
London,"[ 'British', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",3
London,"[ 'Mexican', 'Latin', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",2
London,"[ 'Indian', 'Asian', 'Street Food', 'Vegetarian Friendly', 'Vegan Options' ]",2
London,"[ 'Lebanese', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'Bangladeshi', 'Indian', 'Balti', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options' ]",1
London,"[ 'Korean', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
London,"[ 'Japanese', 'Asian', 'Korean', 'Taiwanese', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'Steakhouse', 'Grill', 'Argentinean', 'Latin', 'South American' ]",1
London,"[ 'Fast Food', 'Mediterranean', 'Turkish', 'Middle Eastern', 'Greek', 'Halal', 'Vegetarian Friendly' ]",1
London,"[ 'Healthy', 'Asian', 'Vietnamese', 'Vegetarian Friendly' ]",1
London,"[ 'Indian', 'Asian', 'Halal', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'Mediterranean', 'Greek', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'Fast Food', 'Middle Eastern', 'Israeli' ]",1
London,"[ 'Cafe', 'Argentinean', 'Spanish', 'South American' ]",1
London,"[ 'Barbecue', 'Turkish' ]",1
London,"[ 'Cafe', 'British', 'Italian', 'Mediterranean', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'Italian', 'Pizza', 'Delicatessen', 'Bar', 'European', 'Pub', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
London,"[ 'Bar', 'International', 'Fusion' ]",1
London,[ 'Canadian' ],1
London,"[ 'European', 'Italian', 'French', 'Cafe' ]",1
London,"[ 'Indian', 'Asian', 'Balti', 'Halal' ]",1
Luxembourg,"[ 'Pizza', 'Italian' ]",1
Lyon,"[ 'French', 'Bar', 'Cafe' ]",1
Lyon,"[ 'Contemporary', 'Wine Bar', 'Street Food' ]",1
Madrid,"[ 'Latin', 'Bar', 'Venezuelan', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Madrid,"[ 'Asian', 'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Madrid,"[ 'Indian', 'Vegetarian Friendly', 'Vegan Options' ]",7
Madrid,"[ 'Mediterranean', 'Spanish', 'Grill', 'Argentinean' ]",1
Madrid,"[ 'Spanish', 'Healthy' ]",2
Madrid,"[ 'Healthy', 'Street Food' ]",1
Madrid,"[ 'Cafe', 'Spanish', 'Vegetarian Friendly' ]",1
Madrid,"[ 'Steakhouse', 'Barbecue', 'Argentinean', 'South American' ]",3
Amsterdam,"[ 'French', 'International', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Amsterdam,"[ 'Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",8
Amsterdam,"[ 'Middle Eastern', 'Persian', 'Vegetarian Friendly', 'Halal', 'Gluten Free Options' ]",1
Amsterdam,"[ 'Dutch', 'European', 'Fusion', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Amsterdam,"[ 'Dutch', 'Seafood', 'Delicatessen', 'Fast Food' ]",1
Amsterdam,"[ 'Italian', 'Pizza', 'Fast Food', 'Vegetarian Friendly' ]",1
Amsterdam,"[ 'Dutch', 'Bar', 'Pub', 'European', 'Vegetarian Friendly' ]",2
Amsterdam,"[ 'Pub', 'Diner', 'Dutch' ]",1
Amsterdam,"[ 'American', 'Dutch', 'European', 'Italian' ]",1
Amsterdam,"[ 'Mexican', 'Argentinean', 'South American' ]",1
Athens,"[ 'Mediterranean', 'Greek', 'International', 'Wine Bar', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Athens,"[ 'Seafood', 'Mediterranean', 'Greek' ]",15
Barcelona,"[ 'Pub', 'Latin', 'Bar', 'Street Food', 'Vegetarian Friendly' ]",1
Barcelona,"[ 'Fast Food', 'American', 'Bar', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Barcelona,"[ 'American', 'Brew Pub', 'Bar', 'Barbecue', 'Gluten Free Options' ]",1
Barcelona,"[ 'Mediterranean', 'European', 'Contemporary', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options' ]",1
Barcelona,"[ 'Italian', 'Seafood', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Barcelona,"[ 'International', 'Mediterranean', 'Vegetarian Friendly' ]",1
Barcelona,"[ 'Spanish', 'Seafood', 'Mediterranean', 'European' ]",3
Barcelona,"[ 'Cafe', 'Mediterranean', 'Spanish', 'Bar', 'European', 'Vegetarian Friendly' ]",1
Barcelona,"[ 'Italian', 'Pizza', 'Mediterranean', 'Healthy', 'European', 'Vegetarian Friendly', 'Vegan Options' ]",1
Barcelona,"[ 'Italian', 'Greek', 'Spanish' ]",1
Barcelona,"[ 'Pizza', 'Cafe', 'Vegan Options' ]",1
Barcelona,"[ 'Fast Food', 'European', 'Spanish' ]",1
Berlin,"[ 'Japanese', 'Sushi', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options' ]",1
Berlin,"[ 'American', 'Bar', 'Fast Food', 'Vegetarian Friendly' ]",1
Berlin,"[ 'Italian', 'Mediterranean', 'Pizza', 'Seafood' ]",1
Berlin,"[ 'Eastern European', 'Croatian', 'Barbecue', 'European' ]",1
Bratislava,"[ 'Italian', 'Mediterranean', 'European', 'Pizza', 'Vegetarian Friendly' ]",1
Brussels,"[ 'Turkish', 'Mediterranean', 'Middle Eastern', 'European', 'Halal', 'Vegetarian Friendly' ]",1
